datetime,open,high,low,close,volume
2011-09-07,1.04885,1.06599,1.04885,1.0646200000000000,0
2011-09-08,1.0646200000000000,1.0659100000000000,1.05651,1.06043,0
2011-09-09,1.06045,1.0633700000000000,1.0421200000000000,1.04681,0
2011-09-12,1.04187,1.04395,1.0255,1.03505,0
2011-09-13,1.03505,1.03746,1.0261800000000000,1.03138,0
2011-09-14,1.03131,1.03685,1.0177200000000000,1.02549,0
2011-09-15,1.0255100000000000,1.03455,1.01821,1.03311,0
2011-09-16,1.0331300000000000,1.03975,1.02936,1.0358100000000000,0
2011-09-19,1.02895,1.0313300000000000,1.01668,1.02106,0
2011-09-20,1.02108,1.0310700000000000,1.01476,1.02649,0
2011-09-21,1.02647,1.0291300000000000,1.00332,1.0051700000000000,0
2011-09-22,1.00519,1.00768,0.96914,0.9745300000000000,0
2011-09-23,0.97451,0.9865300000000000,0.96696,0.97795,0
2011-09-26,0.9782300000000000,0.9845800000000000,0.96216,0.9835300000000000,0
2011-09-27,0.9835,0.9984,0.9775300000000000,0.9904800000000000,0
2011-09-28,0.99049,0.9954300000000000,0.97503,0.97503,0
2011-09-29,0.97501,0.98762,0.97006,0.9768600000000000,0
2011-09-30,0.9768600000000000,0.9807800000000000,0.96583,0.96583,0
2011-10-03,0.96705,0.96991,0.9508,0.9529,0
2011-10-04,0.9529,0.9594600000000000,0.9389800000000000,0.9547700000000000,0
2011-10-05,0.95476,0.9666100000000000,0.94873,0.96547,0
2011-10-06,0.96549,0.97656,0.96209,0.9731700000000000,0
2011-10-07,0.9731800000000000,0.9878400000000000,0.9727300000000000,0.97646,0
2011-10-10,0.9759900000000000,1.0014,0.97521,0.9994200000000000,0
2011-10-11,0.99936,1.0001,0.9905300000000000,0.9959600000000000,0
2011-10-12,0.99595,1.02054,0.98646,1.01337,0
2011-10-13,1.0133300000000000,1.02304,1.01019,1.01857,0
2011-10-14,1.0185800000000000,1.0344200000000000,1.01439,1.03373,0
2011-10-17,1.0323200000000000,1.03708,1.01476,1.01651,0
2011-10-18,1.01653,1.0324800000000000,1.01177,1.02611,0
2011-10-19,1.02609,1.03526,1.0203800000000000,1.02299,0
2011-10-20,1.023,1.02946,1.0147,1.02273,0
2011-10-21,1.02268,1.03764,1.02023,1.03732,0
2011-10-24,1.03296,1.04996,1.03141,1.04672,0
2011-10-25,1.04673,1.04954,1.03989,1.04301,0
2011-10-26,1.04302,1.0433700000000000,1.03216,1.0396300000000000,0
2011-10-27,1.0396300000000000,1.07512,1.03875,1.0712700000000000,0
2011-10-28,1.0712900000000000,1.07308,1.06545,1.06987,0
2011-10-31,1.07061,1.07069,1.0506,1.05406,0
